title:Biome Summary Tables
[[toc]]

**Wiki Note:** These tables are intended to be copied, then printed, and used as a quick reference for how many herbs of each type you have while you're playing at your gaming table. We encourage using tally marks in the quantity space, rather than constantly writing and erasing numbers. Keep in mind that some plants are found in multiple biomes. (If your copying doesn't seem to be holding the formatting, try screenshotting the page and printing it as a picture instead.)

+ ##000000|Desert Summary Table##

||~ Quantity ||~ Herb ||~ Effect ||
||  || Muskroot || Melee touch attack. Victim and everything it threatens takes -1 to hit if it has a sense of smell. At 4th level and every 4 levels thereafter, penalty increases by -1 (max -6 at 20th level). Lasts 1 minute. ||
||  || Puckerberry || Weapon oil. Weapon deals an additional 1 + 1/3 level acid damage (max 7) for 1 minute/level. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||
||  || Venus Hair Fern || Chewed. 1 + 1/3 level alchemical bonus to saving throws against confusion, sanity effects, and to disbelieve illusions for 1 minute. ||
||  || Wild Strawberry || Thrown splash weapon. 1d6 + 1d6 for every 3 levels beyond 1st acid damage in a 5 foot radius with Reflex for half. At high levels, entangles on a failed Reflex save. ||
||  || Yellow Morel || Cooked. Feed level/2 people (min. 1), granting +1 morale to attack and damage and +2 morale to saving throws against poison. Bonuses double at 10th level and triple at 20th level. Lasts 8 hours or until sickened or nauseated. ||

----

+ ##000000|Grassland Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Barbary Fig || Chewed. 1 + 1/3 level fast healing (max 7) for one minute. Also quenches thirst. ||
||  || Black Alder || Chewed. 2 + 1/3 level alchemical bonus to saves against disease for 1 minute. ||
||  || Common Yarrow || Rubbed. Heal 1d8 + 1d8 for every 3 levels past 1st. Heal an additional 1 each round for rounds equal to level. Can harm undead. No saving throw. Stacks in compress. ||
||  || Fool's Parsley || Poison. On a failed Fortitude save, throat seizes up, making speech impossible for 1d4 rounds. ||
||  || Groundelder || Two uses. 1: Can be used as an ingredient when cooking another plant. Adds +2 to the herbalist's effective level. 2: Chewed. 5 + 1/2 level temporary hit points for 1 minute/level.||
||  || Hemlock || Poison. Deals 1 Constitution damage every round on a failed Fortitude save. No max duration. Ends when two consecutive saves are made. Deals 2 Constitution damage per round at 9th, 3 at 17th. ||
||  || Late Spider Orchid || Chewed. 1 + 1/3 level alchemical bonus to Charisma skills involving the opposite sex for 1 minute/level. ||
||  || Needlegrass || Thrown weapon. 1d6 piercing damage/level on a successful ranged touch attack. ||
||  || Pheasant's Eye || Poison. Deals 1 point of Dexterity damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Pricklegrass || Weapon oil. Weapon deals an additional 1 + 1/6 level bleed damage (max 4) for 1 minute/level. ||
||  || Scarlet Pimpernel || Poison. Deals 1 point of Intelligence damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Springroot || Rubbed. Ignore the next 8 x level electric damage. 1 minute/level. ||
||  || Standard Bearer || Two uses. 1: Duplicates up to two other plants in a compress. 2: Place on the ground before bed. Gain +1 find herbs roll from any biome of the herbalist's choice. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||
||  || Wild Strawberry || Thrown splash weapon. 1d6 + 1d6 for every 3 levels beyond 1st acid damage in a 5 foot radius with Reflex for half. At high levels, entangles on a failed Reflex save. ||
||  || Wolfsbane || Chewed. 2 + 1/3 level alchemical bonus to saving throws against fear effects for 1 minute. ||
||  || Yellow Morel || Cooked. Feed level/2 people (min. 1), granting +1 morale to attack and damage and +2 morale to saving throws against poison. Bonuses double at 10th level and triple at 20th level. Lasts 8 hours or until sickened or nauseated. ||

----

+ ##000000|Jungle Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Carrion Flower || Chewed. The next time the chewer is struck in melee, nauseate attacker for 1 round. Lasts 1 round + 1 round/level. ||
||  || Chameleon Bloom || Chewed. One of the chewer's alignment axes vanish entirely for 1 round + 1 round/2 levels. ||
||  || Cocoa || Chewed. Chewer gains competence bonus to Acrobatics skill checks equal to herbalist's level. Lasts 1 minute. ||
||  || Dragon's Maw || Produces 15-foot cone of flame that deals 1d4 points of damage per herbalist level. Reflex halves. ||
||  || Emperor's Candlesticks || Poison. Deals 1d6 fire damage per round for rounds equal to the herbalist's class level. ||
||  || Harmony Fruit || Creatures within 30 feet gain resistance to elemental energy damage equal to the herbalist's class level. Further, the herbalist can force rerolls of individual damage dice. ||
||  || Liana || Chewed. All creatures treat the chewer as though it had concealment, and vice versa. Lasts 1 round + 1 round/level. ||
||  || Madagascar Periwinkle || Chewed. Chewer gains +2 luck bonus against gaze attacks for 1 minute/level. ||
||  || Manmelter Vine || Splash weapon. Creature directly hit takes 1d6 points of damage per herbalist level and is entangled for 1 round/level. ||
||  || Night-Blooming Jasmine || Creatures within 30 feet have all morale bonuses and fear penalties suppressed. ||
||  || Pineapple || Two uses. 1: Chewed. Heals 1d8 + twice the herbalist's class level damage. 2: Brew. Heals 1d8 + the herbalist's class level damage. ||
||  || Pink Wood Sorrel || Poison. After 1-hour delay, subject is staggered permanently until rested or restored. ||
||  || Root Spore || Splash weapon. Creature directly hit takes 1d4 + 1/3 herbalist's class level acid damage each round for 1 round + 1 round/2 levels. Damage dealt feeds into a nodule which can be consumed for healing. ||
||  || Screaming Creeper || Weapon oil. Weapon deals an additional 1 + 1/4 level sonic damage (max +6). ||
||  || Seerbrush || Chewed. Chewer gains limited prescience, gaining the ability to reroll a single d20 at a -4 penalty. ||
||  || Shaman's Assistant || Chewed. Chewer's next source of energy drain in the next 1 minute/level is energy damage instead. ||

----

+ ##000000|Mountains Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Acidbite Lichen || Thrown splash weapon. Clings to the body of a creature in the square it strikes, dealing 1d6 + 1/2 level acid damage each round for a minute. A Strength check can remove it permanently. ||
||  || Chokevine || Can be used as a whip. If it hits, make a combat maneuver with an additional 1 + 1/5 level bonus. If successful, target is choked, rendering mute and dealing 2d4 constriction damage. Maximum duration of 1 round/2 levels (min 1). ||
||  || Cinderbloom || Rubbed. Ignore the next 8 x level fire damage. 1 minute/level. ||
||  || Coldsnap || Rubbed. Ignore the next 8 x level cold damage. 1 minute/level. ||
||  || Common Yarrow || Rubbed. Heal 1d8 + 1d8 for every 3 levels past 1st. Heal an additional 1 each round for rounds equal to level. Can harm undead. No saving throw. Stacks in compress. ||
||  || Deeproot Creeper || Chewed. 1 + 1/4 level alchemical bonus to CMD against bull rush and trip attempts for one minute. ||
||  || Drowning Man || Poison. Deals 1 point of Strength damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Fang of the Mountain || Poison. Deals 1 point of damage to all ability scores on a failed Fortitude save. Cannot be cleared by making two consecutive saves. At 10th level, deals ability drain instead of ability damage. ||
||  || Frostcap || Weapon oil. Weapon deals an additional 1 + 1/3 level cold damage (max 7) for 1 minute/level. ||
||  || Gnomish Puffball || Explosive mushroom detonated at will. Deals 1d6 points of fire damage per level in a 10 foot radius with a Reflex save for half. ||
||  || Hair of the Mountain || Chewed. 1 + 1/4 level temporary hit points and 1 + 1/4 level fast healing for 2 + 1/4 level rounds. When effect ends, chewer is healed 1d6 for every 4 levels. Can be used in compresses. ||
||  || Heart of the Mountain || Chewed. 5 + level temporary hit points, DR 3/-, and fast healing 2 for 1 round/level. When effect ends, chewer is healed 1d6 for every 2 levels. Can be used in compresses. ||
||  || Holy Ghost || Three uses. 1: Can be used as an ingredient when cooking another plant. Adds +2 to the herbalist's effective level. 2: Chewed. 1 + 1/5 level alchemical bonus to Bluff and Diplomacy for 1 minute/level. 3: Cut into music instrument, granting a +2 circumstance bonus to Perform if used and a +1 DC to bardic performances at 6th level. ||
||  || Muskroot || Melee touch attack. Victim and everything it threatens takes -1 to hit if it has a sense of smell. At 4th level and every 4 levels thereafter, penalty increases by -1 (max -6 at 20th level). Lasts 1 minute. ||
||  || Pheasant's Eye || Poison. Deals 1 point of Dexterity damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||
||  || Venus Hair Fern || Chewed. 1 + 1/3 level alchemical bonus to saving throws against confusion, sanity effects, and to disbelieve illusions for 1 minute. ||
||  || Wild Angelica || Chewed. Whenever a swarm would enter chewer's square, Will save or does not move. Lasts for 1 round/level. ||

----

+ ##000000|Tundra Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Acidbite Lichen || Thrown splash weapon. Clings to the body of a creature in the square it strikes, dealing 1d6 + 1/2 level acid damage each round for a minute. A Strength check can remove it permanently. ||
||  || Arctic Poppy || Chewed. If the chewer would be killed by damage, he is instead stabilized one hit point above death. This can only function once per week per person. Lasts 1 + 1/5 level rounds. ||
||  || Coldsnap || Rubbed. Ignore the next 8 x level cold damage. 1 minute/level. ||
||  || Fang of the Mountain || Poison. Deals 1 point of damage to all ability scores on a failed Fortitude save. Cannot be cleared by making two consecutive saves. At 10th level, deals ability drain instead of ability damage. ||
||  || Fly Amanita || Poison. Will save or dazed for 1 round. Mind-affecting. ||
||  || Frostcap || Weapon oil. Weapon deals an additional 1 + 1/3 level cold damage (max 7) for 1 minute/level. ||
||  || Gnomish Puffball || Explosive mushroom detonated at will. Deals 1d6 points of fire damage per level in a 10 foot radius with a Reflex save for half. ||
||  || Hair of the Mountain || Chewed. 1 + 1/4 level temporary hit points and 1 + 1/4 level fast healing for 2 + 1/4 level rounds. When effect ends, chewer is healed 1d6 for every 4 levels. Can be used in compresses. ||
||  || Moss Campion || Chewed. 2 + 1/2 level alchemical bonus to Survival checks for 1 minute/level. ||
||  || Old Man Winter's Beard || Melee touch attack. Will save or advance one age category for 1 round/level. Venerable creatures are instead dazed for 1 round. ||
||  || Phosphor Puff || Two uses. 1: Hold it aloft and shed light. As candle at 1st level. As torch at 7th level and greater. This use does not consume the puff. 2: Brew. 1d4 doses. Fast healing 2 for 1 round/2 levels, min 1. ||
||  || Phosphor Weed || Two uses. 1: Hold it aloft and shed light. As candle at 1st level. As torch at 7th level and greater. 2: Creatures within 30 feet make a Fortitude save or are dazzled for 1 minute. At 9th level, creatures who make their save are dazzled for 1 minute and those who fail are also blinded for 1 round. ||
||  || Rampant Liverwort || Placed as a standard action. The next spell whose AoE includes the liverwort is consumed unless the caster makes a Concentration check. Lasts 1 round + 1 round/level. ||
||  || Shardbloom || Thrown splash weapon. Deals 1d4 cold damage per level in a 5 foot radius. Reflex negates. ||
||  || Specifitine || Chewed. Resistance equal to level to the last energy type to strike the chewer. Lasts 1 minute. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||

----

+ ##000000|Underground Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Acidbite Lichen || Thrown splash weapon. Clings to the body of a creature in the square it strikes, dealing 1d6 + 1/2 level acid damage each round for a minute. A Strength check can remove it permanently. ||
||  || Brighteye || Chewed. 2 + 1/2 level alchemical bonus to Perception checks for 1 minute/level. ||
||  || Destroying Angel || Poison. Deals 2 + 1/2 level Constitution damage on a failed Fortitude save. ||
||  || Drowning Man || Poison. Deals 1 point of Strength damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Flametongue || Weapon oil. Weapon deals an additional 1 + 1/3 level fire damage (max 7) for 1 minute/level. Sheds light. ||
||  || Fly Amanita || Poison. Will save or dazed for 1 round. Mind-affecting. ||
||  || Gnomish Puffball || Explosive mushroom detonated at will. Deals 1d6 points of fire damage per level in a 10 foot radius with a Reflex save for half. ||
||  || Hair of the Mountain || Chewed. 1 + 1/4 level temporary hit points and 1 + 1/4 level fast healing for 2 + 1/4 level rounds. When effect ends, chewer is healed 1d6 for every 4 levels. Can be used in compresses. ||
||  || Phosphor Mushroom || Brew. 1d4 doses. Breath weapon, 60 ft. ray, 1d8 damage for every 2 levels. Usable once. Lasts 1 minute. ||
||  || Phosphor Puff || Two uses. 1: Hold it aloft and shed light. As candle at 1st level. As torch at 7th level and greater. This use does not consume the puff. 2: Brew. 1d4 doses. Fast healing 2 for 1 round/2 levels, min 1. ||
||  || Phosphor Weed || Two uses. 1: Hold it aloft and shed light. As candle at 1st level. As torch at 7th level and greater. 2: Creatures within 30 feet make a Fortitude save or are dazzled for 1 minute. At 9th level, creatures who make their save are dazzled for 1 minute and those who fail are also blinded for 1 round. ||
||  || Rampant Liverwort || Placed as a standard action. The next spell whose AoE includes the liverwort is consumed unless the caster makes a Concentration check. Lasts 1 round + 1 round/level. ||
||  || Shadowbloom || Poison. Deals 2d6 points of damage on a failed Fortitude save every round for rounds equal to level. Affects all corporeal creatures. ||
||  || Shardbloom || Thrown splash weapon. Deals 1d4 cold damage per level in a 5 foot radius. Reflex negates. ||
||  || Specifitine || Chewed. Resistance equal to level to the last energy type to strike the chewer. Lasts 1 minute. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||

----

+ ##000000|Underwater Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Carrageenan || Two uses. 1: Reduce the Craft (alchemy) check needed by a recipe or combinatorial mycology formula by -3. 2: Extend the duration of a weapon oil herbalism plant by 50%. ||
||  || Coldsnap || Rubbed. Ignore the next 8 x level cold damage. 1 minute/level. ||
||  || Drowned Hemlock || Weapon oil. Weapon has the //wounding// weapon special ability for 1 minute/level. ||
||  || Drowning Man || Poison. Deals 1 point of Strength damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Dwarf Cattail || Cooked. One individual gets a +1 size bonus to AC, attack rolls, and saving throws, but takes a -1 penalty to damage rolls, CMB, and CMD. Lasts for 1 hour or until sickened or nauseated. ||
||  || False Coral Snake || Wielded. Grants poison pool that can be spent to deal 1d8 additional damage with weapon attacks. As level increases, more points can be spent on additional damage per attack. Lasts 8 hours. ||
||  || Fanged Algae || Splash weapon. Deals 1d6 + herbalist level acid damage and applies a -2 penalty to AC. Fortitude negates AC penalty. ||
||  || Flametongue || Weapon oil. Weapon deals an additional 1 + 1/3 level fire damage (max 7) for 1 minute/level. Sheds light. ||
||  || Marsh Mallow || Chewed. Heals 1d8 + 1d8 for every 2 levels beyond 1st. At 8th level, +2 bonus to the next Fortitude save taken within 1 minute/level. ||
||  || Posidonia || Chewed. Chewer gains +4 alchemical bonus to next saving throw against inhaled poison. ||
||  || Sawweed || Chewed. Chewer gains the benefits of //see invisibility// for 1 minute/level. ||
||  || Shadowbloom || Poison. Deals 2d6 points of damage on a failed Fortitude save every round for rounds equal to level. Affects all corporeal creatures. ||
||  || Trident of the Current Lord || Wielded. Acts as an exact copy of a weapon in the other hand. Lasts 1 round + 1 round/4 levels. ||
||  || Ubiquitine || Two uses. 1: Can act as any one other plant in a recipe. Adds +5 to Craft DC. 2: Can duplicate any 1-point plant in possession. ||
||  || Water Aloe || Wielded. Grants a mending pool that can be spent to heal 1d6 + 1/2 herbalist level hit points per charge. Lasts 8 hours. ||
||  || Water Lily || Acts as a boat for 24 hours, and generates at high level. ||
||  || Weirdlock || Wielded. Grants an intuition pool that can be spent to grant a +1d3 insight bonus to skill checks per charge. Lasts 8 hours. ||

----

+ ##000000|Wetlands Summary Table##
||~ Quantity ||~ Herb ||~ Effect ||
||  || Calamus || Chewed. 1 + 1/3 level alchemical bonus to saves against the sickened and nauseated conditions for 1 minute. ||
||  || Cattail || Two uses. 1: Can be used as an ingredient when cooking another plant. Adds +2 to the herbalist's effective level. 2: Can swing as a club, dealing damage and affecting the victim as per the //glitterdust// spell. Duration is permanent. Fluff has level * 2 HP. ||
||  || Deeproot Creeper || Chewed. 1 + 1/4 level alchemical bonus to CMD against bull rush and trip attempts for one minute. ||
||  || Drowning Man || Poison. Deals 1 point of Strength damage plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Dwarf Cattail || Cooked. One individual gets a +1 size bonus to AC, attack rolls, and saving throws, but takes a -1 penalty to damage rolls, CMB, and CMD. Lasts for 1 hour or until sickened or nauseated. ||
||  || Fiddleheads || Cooked. Feed level/2 people (min. 1), granting +1 morale to saving throws. Increases by +1 at 10th and 20th levels. Lasts for 8 hours. ||
||  || Hemlock || Poison. Deals 1 Constitution damage every round on a failed Fortitude save. No max duration. Ends when two consecutive saves are made. Deals 2 Constitution damage per round at 9th, 3 at 17th. ||
||  || Holy Ghost || Three uses. 1: Can be used as an ingredient when cooking another plant. Adds +2 to the herbalist's effective level. 2: Chewed. 1 + 1/5 level alchemical bonus to Bluff and Diplomacy for 1 minute/level. 3: Cut into music instrument, granting a +2 circumstance bonus to Perform if used and a +1 DC to bardic performances at 6th level. ||
||  || Marsh Mallow || Chewed. Heals 1d8 + 1d8 for every 2 levels beyond 1st. At 8th level, +2 bonus to the next Fortitude save taken within 1 minute/level. ||
||  || Marsh Marigold || Poison. Deals 1 point of Wisdom drain plus an additional point for every 4 herbalist levels on a failed Fortitude save. ||
||  || Puckerberry || Weapon oil. Weapon deals an additional 1 + 1/3 level acid damage (max 7) for 1 minute/level. ||
||  || Shadowbloom || Poison. Deals 2d6 points of damage on a failed Fortitude save every round for rounds equal to level. Affects all corporeal creatures. ||
||  || Springroot || Rubbed. Ignore the next 8 x level electric damage. 1 minute/level. ||
||  || Wild Angelica || Chewed. Whenever a swarm would enter chewer's square, Will save or does not move. Lasts for 1 round/level. ||
||  || Wild Strawberry || Thrown splash weapon. 1d6 + 1d6 for every 3 levels beyond 1st acid damage in a 5 foot radius with Reflex for half. At high levels, entangles on a failed Reflex save. ||
